Id,Weekly_Sales
1_1_2012-11-02,22838.72862069584
1_1_2012-11-09,22838.72862069584
1_1_2012-11-16,21981.991345810042
1_1_2012-11-23,21075.644405983767
1_1_2012-11-30,21075.644405983767
1_1_2012-12-07,20443.67941001503
1_1_2012-12-14,20443.67941001503
1_1_2012-12-21,18552.495420144747
1_1_2012-12-28,18552.495420144747
1_1_2013-01-04,17739.2275154885
1_1_2013-01-11,16980.73494210925
1_1_2013-01-18,16538.623124619087
1_1_2013-01-25,16538.623124619087
1_1_2013-02-01,14787.393879786418
1_1_2013-02-08,13956.506155904619
1_1_2013-02-15,13591.570393202828
1_1_2013-02-22,13591.570393202828
1_1_2013-03-01,13591.570393202828
1_1_2013-03-08,13133.891358122852
1_1_2013-03-15,13133.891358122852
1_1_2013-03-22,13133.891358122852
1_1_2013-03-29,13133.891358122852
1_1_2013-04-05,13133.891358122852
1_1_2013-04-12,13253.995687064371
1_1_2013-04-19,13253.995687064371
1_1_2013-04-26,13253.995687064371
1_1_2013-05-03,13253.995687064371
1_1_2013-05-10,12980.581626035528
1_1_2013-05-17,12980.581626035528
1_1_2013-05-24,12980.581626035528
1_1_2013-05-31,12980.581626035528
1_1_2013-06-07,12980.581626035528
1_1_2013-06-14,12732.320516758142
1_1_2013-06-21,12732.320516758142
1_1_2013-06-28,12732.320516758142
1_1_2013-07-05,12300.942527344423
1_1_2013-07-12,12300.942527344423
1_1_2013-07-19,12300.942527344423
1_1_2013-07-26,11437.915278178198
1_2_2012-11-02,11194.586661950729
1_2_2012-11-09,11194.586661950729
1_2_2012-11-16,11194.586661950729
1_2_2012-11-23,11194.586661950729
1_2_2012-11-30,11194.586661950729
1_2_2012-12-07,11326.433732436206
1_2_2012-12-14,11326.433732436206
1_2_2012-12-21,11326.433732436206
1_2_2012-12-28,11243.549724738172
1_2_2013-01-04,11243.549724738172
1_2_2013-01-11,11373.637987204105
1_2_2013-01-18,18210.97411950311
1_2_2013-01-25,22626.167046022245
1_2_2013-02-01,24955.409694610404
1_2_2013-02-08,26691.006701344086
1_2_2013-02-15,32530.459045609266
1_2_2013-02-22,32530.459045609266
1_2_2013-03-01,35167.98132735288
1_2_2013-03-08,39176.54470808213
1_2_2013-03-15,39176.54470808213
1_2_2013-03-22,39864.27461560641
1_2_2013-03-29,42776.01390833652
1_2_2013-04-05,50052.57544573067
1_2_2013-04-12,50052.57544573067
1_2_2013-04-19,50536.713151491436
1_2_2013-04-26,50674.60695681213
1_2_2013-05-03,50674.60695681213
1_2_2013-05-10,50674.60695681213
1_2_2013-05-17,50674.60695681213
1_2_2013-05-24,50674.60695681213
1_2_2013-05-31,50782.3583909598
1_2_2013-06-07,49481.73533864024
1_2_2013-06-14,23518.703479535896
1_2_2013-06-21,23345.312519378906
1_2_2013-06-28,23568.476132658154
1_2_2013-07-05,23029.80515517132
1_2_2013-07-12,22111.57946707716
1_2_2013-07-19,21924.552039743525
1_2_2013-07-26,21018.20509991725
1_3_2012-11-02,21018.20509991725
1_3_2012-11-09,19954.862114534793
1_3_2012-11-16,19954.862114534793
1_3_2012-11-23,18063.67812466451
1_3_2012-11-30,17852.708266224006
1_3_2012-12-07,17039.44036156776
1_3_2012-12-14,16280.947788188512
1_3_2012-12-21,15493.774015486277
1_3_2012-12-28,14087.606725865673
1_3_2013-01-04,14087.606725865673
1_3_2013-01-11,13082.956433960337
1_3_2013-01-18,13082.956433960337
1_3_2013-01-25,13082.956433960337
1_3_2013-02-01,13082.956433960337
1_3_2013-02-08,12625.27739888036
1_3_2013-02-15,12625.27739888036
1_3_2013-02-22,12625.27739888036
1_3_2013-03-01,12625.27739888036
1_3_2013-03-08,12625.27739888036
1_3_2013-03-15,12625.27739888036
1_3_2013-03-22,12625.27739888036
1_3_2013-03-29,12625.27739888036
1_3_2013-04-05,12625.27739888036
1_3_2013-04-12,12625.27739888036
1_3_2013-04-19,12625.27739888036
1_3_2013-04-26,12625.27739888036
1_3_2013-05-03,12625.27739888036
1_3_2013-05-10,12625.27739888036
1_3_2013-05-17,12377.016289602974
1_3_2013-05-24,12377.016289602974
1_3_2013-05-31,12163.681115040046
1_3_2013-06-07,12163.681115040046
1_3_2013-06-14,12163.681115040046
1_3_2013-06-21,11511.623724314328
1_3_2013-06-28,11268.295108086859
1_3_2013-07-05,11268.295108086859
1_3_2013-07-12,11268.295108086859
1_3_2013-07-19,11049.973298801624
1_3_2013-07-26,11049.973298801624
1_4_2012-11-02,11049.973298801624
1_4_2012-11-09,11049.973298801624
1_4_2012-11-16,11049.973298801624
1_4_2012-11-23,11049.973298801624
1_4_2012-11-30,14299.547603435607
1_4_2012-12-07,20784.682323463374
1_4_2012-12-14,21990.262274465338
1_4_2012-12-21,26133.92917732066
1_4_2012-12-28,33718.20540307508
1_4_2013-01-04,34981.70791451583
1_4_2013-01-11,37177.964631160976
1_4_2013-01-18,37177.964631160976
1_4_2013-01-25,37177.964631160976
1_4_2013-02-01,42241.91002957354
1_4_2013-02-08,42241.91002957354
1_4_2013-02-15,45841.37922982792
1_4_2013-02-22,46035.45615257101
1_4_2013-03-01,47212.89646091336
1_4_2013-03-08,47212.89646091336
1_4_2013-03-15,47697.03416667413
1_4_2013-03-22,47697.03416667413
1_4_2013-03-29,47697.03416667413
1_4_2013-04-05,47697.03416667413
1_4_2013-04-12,47697.03416667413
1_4_2013-04-19,47697.03416667413
1_4_2013-04-26,19821.387504800787
1_4_2013-05-03,18903.161816706623
1_4_2013-05-10,18204.377103669343
1_4_2013-05-17,16849.21051549641
1_4_2013-05-24,16217.245519527683
1_4_2013-05-31,16217.245519527683
1_4_2013-06-07,16217.245519527683
1_4_2013-06-14,14326.061529657409
1_4_2013-06-21,14326.061529657409
1_4_2013-06-28,12442.953638166253
1_4_2013-07-05,12442.953638166253
1_4_2013-07-12,11894.711978783687
1_4_2013-07-19,11549.650023571598
1_4_2013-07-26,11549.650023571598
1_5_2012-11-02,11083.848444304907
1_5_2012-11-09,10603.56773472352
1_5_2012-11-16,10603.56773472352
1_5_2012-11-23,10603.56773472352
1_5_2012-11-30,10145.888699643543
1_5_2012-12-07,10145.888699643543
1_5_2012-12-14,10145.888699643543
1_5_2012-12-21,10145.888699643543
1_5_2012-12-28,10145.888699643543
1_5_2013-01-04,10145.888699643543
1_5_2013-01-11,10145.888699643543
1_5_2013-01-18,10145.888699643543
1_5_2013-01-25,10145.888699643543
1_5_2013-02-01,10145.888699643543
1_5_2013-02-08,10145.888699643543
1_5_2013-02-15,10145.888699643543
1_5_2013-02-22,10145.888699643543
1_5_2013-03-01,10145.888699643543
1_5_2013-03-08,9897.627590366157
1_5_2013-03-15,9897.627590366157
1_5_2013-03-22,9897.627590366157
1_5_2013-03-29,9897.627590366157
1_5_2013-04-05,9897.627590366157
1_5_2013-04-12,9245.570199640439
1_5_2013-04-19,9245.570199640439
1_5_2013-04-26,9002.24158341297
1_5_2013-05-03,8791.271724972463
1_5_2013-05-10,8791.271724972463
1_5_2013-05-17,8791.271724972463
1_5_2013-05-24,8791.271724972463
1_5_2013-05-31,8791.271724972463
1_5_2013-06-07,8791.271724972463
1_5_2013-06-14,8791.271724972463
1_5_2013-06-21,8791.271724972463
1_5_2013-06-28,8483.730432670623
1_5_2013-07-05,8483.730432670623
1_5_2013-07-12,9154.9108941332
1_5_2013-07-19,17764.474210093224
1_5_2013-07-26,23303.329834198546
1_6_2012-11-02,23303.329834198546
1_6_2012-11-09,26959.71248469681
1_6_2012-11-16,30088.985784988712
1_6_2012-11-23,31136.540727168296
1_6_2012-11-30,34037.85158132876
1_6_2012-12-07,35498.35183518539
1_6_2012-12-14,35498.35183518539
1_6_2012-12-21,37484.22122633512
1_6_2012-12-28,37484.22122633512
1_6_2013-01-04,41744.180951358816
1_6_2013-01-11,42228.318657119584
1_6_2013-01-18,42228.318657119584
1_6_2013-01-25,42228.318657119584
1_6_2013-02-01,42228.318657119584
1_6_2013-02-08,42228.318657119584
1_6_2013-02-15,42228.318657119584
1_6_2013-02-22,42228.318657119584
1_6_2013-03-01,42228.318657119584
1_6_2013-03-08,33068.95408943151
1_6_2013-03-15,33068.95408943151
1_6_2013-03-22,33068.95408943151
1_6_2013-03-29,33068.95408943151
1_6_2013-04-05,33068.95408943151
1_6_2013-04-12,33068.95408943151
1_6_2013-04-19,31390.19458810739
1_6_2013-04-26,31390.19458810739
1_6_2013-05-03,31390.19458810739
1_6_2013-05-10,31390.19458810739
1_6_2013-05-17,31390.19458810739
1_6_2013-05-24,31390.19458810739
1_6_2013-05-31,27859.821603769902
1_6_2013-06-07,27859.821603769902
1_6_2013-06-14,27859.821603769902
1_6_2013-06-21,27859.821603769902
1_6_2013-06-28,27251.971104988774
1_6_2013-07-05,27251.971104988774
1_6_2013-07-12,26616.01297453359
1_6_2013-07-19,26616.01297453359
1_6_2013-07-26,26616.01297453359
1_7_2012-11-02,26616.01297453359
1_7_2012-11-09,26611.980829702545
