Id,Weekly_Sales
1_1_2012-11-02,25337.159219458503
1_1_2012-11-09,44997.10755807611
1_1_2012-11-16,18270.444655888263
1_1_2012-11-23,26248.370243978403
1_1_2012-11-30,24267.360873750466
1_1_2012-12-07,15929.799886500788
1_1_2012-12-14,28092.276763474063
1_1_2012-12-21,28092.276763474063
1_1_2012-12-28,22177.025716774362
1_1_2013-01-04,22177.025716774362
1_1_2013-01-11,19694.861608741972
1_1_2013-01-18,16361.802097408983
1_1_2013-01-25,25239.902850050883
1_1_2013-02-01,17724.90047913018
1_1_2013-02-08,16188.760831655307
1_1_2013-02-15,11912.791476969882
1_1_2013-02-22,9230.645447479961
1_1_2013-03-01,9230.645447479961
1_1_2013-03-08,9230.645447479961
1_1_2013-03-15,9230.645447479961
1_1_2013-03-22,11828.769500510585
1_1_2013-03-29,14807.863988909872
1_1_2013-04-05,9345.718331347354
1_1_2013-04-12,9345.718331347354
1_1_2013-04-19,8947.969656178386
1_1_2013-04-26,7861.060525315657
1_1_2013-05-03,7861.060525315657
1_1_2013-05-10,7861.060525315657
1_1_2013-05-17,7861.060525315657
1_1_2013-05-24,7861.060525315657
1_1_2013-05-31,8151.30917742448
1_1_2013-06-07,8151.30917742448
1_1_2013-06-14,8151.30917742448
1_1_2013-06-21,7726.640286699963
1_1_2013-06-28,7726.640286699963
1_1_2013-07-05,7726.640286699963
1_1_2013-07-12,46391.51991631016
1_1_2013-07-19,44194.13538623285
1_1_2013-07-26,9806.581162398918
1_2_2012-11-02,9806.581162398918
1_2_2012-11-09,9806.581162398918
1_2_2012-11-16,13504.828937619897
1_2_2012-11-23,7708.351199260249
1_2_2012-11-30,7708.351199260249
1_2_2012-12-07,7112.4397056733615
1_2_2012-12-14,7348.0775133304105
1_2_2012-12-21,7348.0775133304105
1_2_2012-12-28,7348.0775133304105
1_2_2013-01-04,7348.0775133304105
1_2_2013-01-11,7348.0775133304105
1_2_2013-01-18,9550.520668922223
1_2_2013-01-25,9550.520668922223
1_2_2013-02-01,43795.360325038004
1_2_2013-02-08,21205.15988117556
1_2_2013-02-15,21205.15988117556
1_2_2013-02-22,20836.425635233078
1_2_2013-03-01,20836.425635233078
1_2_2013-03-08,20836.425635233078
1_2_2013-03-15,17455.550509578232
1_2_2013-03-22,17455.550509578232
1_2_2013-03-29,24650.72880363855
1_2_2013-04-05,61851.24044228679
1_2_2013-04-12,59141.480408708
1_2_2013-04-19,91124.60719663517
1_2_2013-04-26,53084.17444392555
1_2_2013-05-03,54302.8259694184
1_2_2013-05-10,90356.71355665848
1_2_2013-05-17,33310.94998033373
1_2_2013-05-24,31694.08911397537
1_2_2013-05-31,20958.455780870536
1_2_2013-06-07,9743.3073853465
1_2_2013-06-14,24109.59965313687
1_2_2013-06-21,44997.10755807611
1_2_2013-06-28,18270.444655888263
1_2_2013-07-05,26248.370243978403
1_2_2013-07-12,24267.360873750466
1_2_2013-07-19,15929.799886500788
1_2_2013-07-26,28092.276763474063
1_3_2012-11-02,28092.276763474063
1_3_2012-11-09,22177.025716774362
1_3_2012-11-16,22177.025716774362
1_3_2012-11-23,19694.861608741972
1_3_2012-11-30,16361.802097408983
1_3_2012-12-07,25239.902850050883
1_3_2012-12-14,17724.90047913018
1_3_2012-12-21,16188.760831655307
1_3_2012-12-28,11912.791476969882
1_3_2013-01-04,9230.645447479961
1_3_2013-01-11,9230.645447479961
1_3_2013-01-18,9230.645447479961
1_3_2013-01-25,9230.645447479961
1_3_2013-02-01,11828.769500510585
1_3_2013-02-08,14807.863988909872
1_3_2013-02-15,9345.718331347354
1_3_2013-02-22,9345.718331347354
1_3_2013-03-01,8947.969656178386
