Id,Weekly_Sales
1_1_2012-11-02,25337.159219458466
1_1_2012-11-09,44997.10755807607
1_1_2012-11-16,18270.44465588829
1_1_2012-11-23,26248.37024397842
1_1_2012-11-30,24267.360873750495
1_1_2012-12-07,15929.799886500821
1_1_2012-12-14,28092.276763474085
1_1_2012-12-21,28092.276763474085
1_1_2012-12-28,22177.025716774417
1_1_2013-01-04,22177.025716774417
1_1_2013-01-11,19694.861608741936
1_1_2013-01-18,16361.802097408949
1_1_2013-01-25,25239.90285005088
1_1_2013-02-01,17724.900479130207
1_1_2013-02-08,16188.760831655394
1_1_2013-02-15,11912.791476969918
1_1_2013-02-22,9230.64544748001
1_1_2013-03-01,9230.64544748001
1_1_2013-03-08,9230.64544748001
1_1_2013-03-15,9230.64544748001
1_1_2013-03-22,11828.76950051063
1_1_2013-03-29,14807.863988909916
1_1_2013-04-05,9345.718331347405
1_1_2013-04-12,9345.718331347405
1_1_2013-04-19,8947.969656178444
1_1_2013-04-26,7861.060525315707
1_1_2013-05-03,7861.060525315707
1_1_2013-05-10,7861.060525315707
1_1_2013-05-17,7861.060525315707
1_1_2013-05-24,7861.060525315707
1_1_2013-05-31,8151.309177424527
1_1_2013-06-07,8151.309177424527
1_1_2013-06-14,8151.309177424527
1_1_2013-06-21,7726.640286700007
1_1_2013-06-28,7726.640286700007
1_1_2013-07-05,7726.640286700007
1_1_2013-07-12,46391.51991631019
1_1_2013-07-19,44194.13538623289
1_1_2013-07-26,9806.58116239894
1_2_2012-11-02,9806.58116239894
1_2_2012-11-09,9806.58116239894
1_2_2012-11-16,13504.828937619919
1_2_2012-11-23,7708.351199260306
1_2_2012-11-30,7708.351199260306
1_2_2012-12-07,7112.439705673414
1_2_2012-12-14,7348.077513330473
1_2_2012-12-21,7348.077513330473
1_2_2012-12-28,7348.077513330473
1_2_2013-01-04,7348.077513330473
1_2_2013-01-11,7348.077513330473
1_2_2013-01-18,9550.520668922254
1_2_2013-01-25,9550.520668922254
1_2_2013-02-01,43795.36032503807
1_2_2013-02-08,21205.159881175652
1_2_2013-02-15,21205.159881175652
1_2_2013-02-22,20836.42563523317
1_2_2013-03-01,20836.42563523317
1_2_2013-03-08,20836.42563523317
1_2_2013-03-15,17455.5505095783
1_2_2013-03-22,17455.5505095783
1_2_2013-03-29,24650.728803638624
1_2_2013-04-05,61851.24044228675
1_2_2013-04-12,59141.48040870795
1_2_2013-04-19,91124.60719663516
1_2_2013-04-26,53084.174443925534
1_2_2013-05-03,54302.8259694184
1_2_2013-05-10,90356.71355665845
1_2_2013-05-17,33310.94998033372
1_2_2013-05-24,31694.08911397537
1_2_2013-05-31,20958.45578087053
1_2_2013-06-07,9743.307385346488
1_2_2013-06-14,24109.599653136836
1_2_2013-06-21,44997.10755807607
1_2_2013-06-28,18270.44465588829
1_2_2013-07-05,26248.37024397842
1_2_2013-07-12,24267.360873750495
1_2_2013-07-19,15929.799886500821
1_2_2013-07-26,28092.276763474085
1_3_2012-11-02,28092.276763474085
1_3_2012-11-09,22177.025716774417
1_3_2012-11-16,22177.025716774417
1_3_2012-11-23,19694.861608741936
1_3_2012-11-30,16361.802097408949
1_3_2012-12-07,25239.90285005088
1_3_2012-12-14,17724.900479130207
1_3_2012-12-21,16188.760831655394
1_3_2012-12-28,11912.791476969918
1_3_2013-01-04,9230.64544748001
1_3_2013-01-11,9230.64544748001
1_3_2013-01-18,9230.64544748001
1_3_2013-01-25,9230.64544748001
1_3_2013-02-01,11828.76950051063
1_3_2013-02-08,14807.863988909916
1_3_2013-02-15,9345.718331347405
1_3_2013-02-22,9345.718331347405
1_3_2013-03-01,8947.969656178444
1_3_2013-03-08,7861.060525315707
1_3_2013-03-15,7861.060525315707
1_3_2013-03-22,7861.060525315707
1_3_2013-03-29,7861.060525315707
1_3_2013-04-05,7861.060525315707
1_3_2013-04-12,8151.309177424527
1_3_2013-04-19,8151.309177424527
1_3_2013-04-26,8151.309177424527
1_3_2013-05-03,7726.640286700007
1_3_2013-05-10,7726.640286700007
1_3_2013-05-17,7726.640286700007
1_3_2013-05-24,46391.51991631019
1_3_2013-05-31,44194.13538623289
1_3_2013-06-07,9806.58116239894
1_3_2013-06-14,9806.58116239894
1_3_2013-06-21,9806.58116239894
1_3_2013-06-28,13504.828937619919
1_3_2013-07-05,7708.351199260306
1_3_2013-07-12,7708.351199260306
1_3_2013-07-19,7112.439705673414
1_3_2013-07-26,7348.077513330473
1_4_2012-11-02,7348.077513330473
1_4_2012-11-09,7348.077513330473
1_4_2012-11-16,7348.077513330473
1_4_2012-11-23,7348.077513330473
1_4_2012-11-30,9550.520668922254
1_4_2012-12-07,9550.520668922254
1_4_2012-12-14,43795.36032503807
1_4_2012-12-21,21205.159881175652
1_4_2012-12-28,21205.159881175652
1_4_2013-01-04,20836.42563523317
1_4_2013-01-11,20836.42563523317
1_4_2013-01-18,20836.42563523317
1_4_2013-01-25,17455.5505095783
1_4_2013-02-01,17455.5505095783
1_4_2013-02-08,24650.728803638624
1_4_2013-02-15,61851.24044228675
1_4_2013-02-22,59141.48040870795
1_4_2013-03-01,91124.60719663516
1_4_2013-03-08,53084.174443925534
1_4_2013-03-15,54302.8259694184
1_4_2013-03-22,90356.71355665845
1_4_2013-03-29,33310.94998033372
1_4_2013-04-05,31694.08911397537
1_4_2013-04-12,20958.45578087053
1_4_2013-04-19,9743.307385346488
1_4_2013-04-26,25337.159219458466
1_4_2013-05-03,44997.10755807607
1_4_2013-05-10,18270.44465588829
1_4_2013-05-17,26248.37024397842
1_4_2013-05-24,24267.360873750495
1_4_2013-05-31,15929.799886500821
1_4_2013-06-07,28092.276763474085
1_4_2013-06-14,28092.276763474085
1_4_2013-06-21,22177.025716774417
1_4_2013-06-28,22177.025716774417
1_4_2013-07-05,19694.861608741936
1_4_2013-07-12,16361.802097408949
1_4_2013-07-19,25239.90285005088
1_4_2013-07-26,17724.900479130207
1_5_2012-11-02,16188.760831655394
1_5_2012-11-09,11912.791476969918
1_5_2012-11-16,9230.64544748001
1_5_2012-11-23,9230.64544748001
1_5_2012-11-30,9230.64544748001
1_5_2012-12-07,9230.64544748001
1_5_2012-12-14,11828.76950051063
1_5_2012-12-21,14807.863988909916
1_5_2012-12-28,9345.718331347405
1_5_2013-01-04,9345.718331347405
1_5_2013-01-11,8947.969656178444
1_5_2013-01-18,7861.060525315707
1_5_2013-01-25,7861.060525315707
1_5_2013-02-01,7861.060525315707
1_5_2013-02-08,7861.060525315707
1_5_2013-02-15,7861.060525315707
1_5_2013-02-22,8151.309177424527
1_5_2013-03-01,8151.309177424527
1_5_2013-03-08,8151.309177424527
1_5_2013-03-15,7726.640286700007
1_5_2013-03-22,7726.640286700007
1_5_2013-03-29,7726.640286700007
1_5_2013-04-05,46391.51991631019
1_5_2013-04-12,44194.13538623289
1_5_2013-04-19,9806.58116239894
1_5_2013-04-26,9806.58116239894
1_5_2013-05-03,9806.58116239894
1_5_2013-05-10,13504.828937619919
1_5_2013-05-17,7708.351199260306
1_5_2013-05-24,7708.351199260306
1_5_2013-05-31,7112.439705673414
1_5_2013-06-07,7112.439705673414
1_5_2013-06-14,7348.077513330473
1_5_2013-06-21,7348.077513330473
1_5_2013-06-28,7348.077513330473
1_5_2013-07-05,7348.077513330473
1_5_2013-07-12,7348.077513330473
1_5_2013-07-19,9550.520668922254
1_5_2013-07-26,9550.520668922254
1_6_2012-11-02,43795.36032503807
1_6_2012-11-09,21205.159881175652
1_6_2012-11-16,21205.159881175652
1_6_2012-11-23,20836.42563523317
1_6_2012-11-30,20836.42563523317
1_6_2012-12-07,20836.42563523317
1_6_2012-12-14,17455.5505095783
1_6_2012-12-21,17455.5505095783
1_6_2012-12-28,24650.728803638624
1_6_2013-01-04,61851.24044228675
1_6_2013-01-11,59141.48040870795
1_6_2013-01-18,91124.60719663516
1_6_2013-01-25,53084.174443925534
