Id,Weekly_Sales
1_1_2012-11-02,17911.69254389952
1_1_2012-11-09,45843.65937406178
1_1_2012-11-16,10995.305591538769
1_1_2012-11-23,34691.42854953629
1_1_2012-11-30,30671.14544504459
1_1_2012-12-07,5285.183979396468
1_1_2012-12-14,28525.641169344457
1_1_2012-12-21,36737.74206309947
1_1_2012-12-28,31309.615544786055
1_1_2013-01-04,29662.967761774744
1_1_2013-01-11,24114.532228747335
1_1_2013-01-18,10326.430977074424
1_1_2013-01-25,37335.656676780665
1_1_2013-02-01,18827.645411291796
1_1_2013-02-08,7262.71670810896
1_1_2013-02-15,10797.471626719062
1_1_2013-02-22,13487.26537240087
1_1_2013-03-01,1816.1269713767515
1_1_2013-03-08,4881.903586798014
1_1_2013-03-15,6391.411359201357
1_1_2013-03-22,11252.474071748169
1_1_2013-03-29,23402.641675965213
1_1_2013-04-05,7210.658610458776
1_1_2013-04-12,10430.64371952431
1_1_2013-04-19,8453.208277759626
1_1_2013-04-26,2078.6248622439916
1_1_2013-05-03,1431.928517924626
1_1_2013-05-10,5711.487873148628
1_1_2013-05-17,3497.2409716417837
1_1_2013-05-24,2908.6767830630647
1_1_2013-05-31,7604.9489093648635
1_1_2013-06-07,7040.401434887211
1_1_2013-06-14,11924.857063049934
1_1_2013-06-21,2994.7434020478477
1_1_2013-06-28,2433.10873204625
1_1_2013-07-05,3470.679733061722
1_1_2013-07-12,77735.77430517427
1_1_2013-07-19,58781.92960625202
1_1_2013-07-26,2687.584664129755
1_2_2012-11-02,7739.2705150916745
1_2_2012-11-09,5950.852752393459
1_2_2012-11-16,20004.338833033435
1_2_2012-11-23,984.7945674391756
1_2_2012-11-30,9882.90577948377
1_2_2012-12-07,2948.772863939757
1_2_2012-12-14,18743.247768004778
1_2_2012-12-21,3324.358792635148
1_2_2012-12-28,3637.45238651696
1_2_2013-01-04,1598.5030079728463
1_2_2013-01-11,1411.091425354183
1_2_2013-01-18,7133.420116068088
1_2_2013-01-25,2570.3176904962734
1_2_2013-02-01,55844.086945883486
1_2_2013-02-08,10701.462874662171
1_2_2013-02-15,32970.9180686792
1_2_2013-02-22,18036.610965286858
1_2_2013-03-01,28127.89342069113
1_2_2013-03-08,21204.658428806128
1_2_2013-03-15,6198.759141989593
1_2_2013-03-22,5530.272959380277
1_2_2013-03-29,57734.89667773788
1_2_2013-04-05,95461.46080469398
1_2_2013-04-12,69737.27563775697
1_2_2013-04-19,156114.39358552024
1_2_2013-04-26,81204.20676326162
1_2_2013-05-03,64213.79558722706
1_2_2013-05-10,117648.91480312978
1_2_2013-05-17,36600.8488069449
1_2_2013-05-24,35751.11221500683
1_2_2013-05-31,13906.469229341978
1_2_2013-06-07,3125.3317799049205
1_2_2013-06-14,17704.2469729459
1_2_2013-06-21,45726.63493763152
1_2_2013-06-28,11180.94341104089
1_2_2013-07-05,34600.93002478298
1_2_2013-07-12,29324.625779364476
1_2_2013-07-19,5032.344078434516
1_2_2013-07-26,28339.412206840425
1_3_2012-11-02,36955.90850680634
