Id,Weekly_Sales
1_1_2012-11-02,16248.049253731782
1_1_2012-11-09,16358.824405506586
1_1_2012-11-16,16469.59955728139
1_1_2012-11-23,16580.374709056196
1_1_2012-11-30,16691.149860831003
1_1_2012-12-07,16801.925012605807
1_1_2012-12-14,16912.70016438061
1_1_2012-12-21,17023.475316155414
1_1_2012-12-28,17134.250467930222
1_1_2013-01-04,17245.025619705026
1_1_2013-01-11,17355.80077147983
1_1_2013-01-18,17466.575923254633
1_1_2013-01-25,17577.35107502944
1_1_2013-02-01,17688.126226804245
1_1_2013-02-08,17909.676530353856
1_1_2013-02-15,18020.45168212866
1_1_2013-02-22,18131.226833903464
1_1_2013-03-01,18242.001985678267
1_1_2013-03-08,18352.777137453075
1_1_2013-03-15,18463.55228922788
1_1_2013-03-22,18574.327441002686
1_1_2013-03-29,18685.10259277749
1_1_2013-04-05,18795.877744552294
1_1_2013-04-12,18906.652896327098
1_1_2013-04-19,19017.4280481019
1_1_2013-04-26,19128.20319987671
1_1_2013-05-03,19238.978351651513
1_1_2013-05-10,19349.75350342632
1_1_2013-05-17,19460.528655201124
1_1_2013-05-24,19571.303806975928
1_1_2013-05-31,19682.07895875073
1_1_2013-06-07,19792.854110525535
1_1_2013-06-14,19903.629262300343
1_1_2013-06-21,20014.404414075147
1_1_2013-06-28,20125.179565849954
1_1_2013-07-05,20235.954717624754
1_1_2013-07-12,20346.72986939956
1_1_2013-07-19,20568.28017294917
1_1_2013-07-26,20679.055324723973
1_2_2012-11-02,20789.83047649878
1_2_2012-11-09,21011.380780048392
1_2_2012-11-16,21232.931083598
1_2_2012-11-23,21454.481387147607
1_2_2012-11-30,21565.256538922415
1_2_2012-12-07,21897.58199424683
1_2_2012-12-14,22229.90744957124
1_2_2012-12-21,22340.68260134605
1_2_2012-12-28,22562.232904895656
1_2_2013-01-04,22673.008056670464
1_2_2013-01-11,22783.783208445268
1_2_2013-01-18,23559.2092708689
1_2_2013-01-25,24002.30987796812
1_2_2013-02-01,24113.085029742924
1_2_2013-02-08,24334.635333292536
1_2_2013-02-15,24888.51109216656
1_2_2013-02-22,24999.286243941366
1_2_2013-03-01,25110.06139571617
1_2_2013-03-08,25220.836547490973
1_2_2013-03-15,25331.611699265777
1_2_2013-03-22,25553.16200281539
1_2_2013-03-29,25774.712306365
1_2_2013-04-05,26107.03776168941
1_2_2013-04-12,26217.81291346422
1_2_2013-04-19,26328.588065239022
1_2_2013-04-26,26439.36321701383
1_2_2013-05-03,26550.138368788634
1_2_2013-05-10,26660.913520563437
1_2_2013-05-17,26771.68867233824
1_2_2013-05-24,26882.463824113045
1_2_2013-05-31,26993.23897588785
1_2_2013-06-07,27104.014127662656
1_2_2013-06-14,16424.825374781096
1_2_2013-06-21,16535.6005265559
1_2_2013-06-28,16646.375678330707
1_2_2013-07-05,16757.15083010551
1_2_2013-07-12,16867.925981880315
1_2_2013-07-19,16978.70113365512
1_2_2013-07-26,17089.476285429926
1_3_2012-11-02,17200.25143720473
1_3_2012-11-09,17311.026588979534
1_3_2012-11-16,17421.80174075434
1_3_2012-11-23,17532.576892529145
1_3_2012-11-30,17643.35204430395
1_3_2012-12-07,17754.127196078756
1_3_2012-12-14,17864.90234785356
1_3_2012-12-21,18086.452651403168
1_3_2012-12-28,18197.227803177975
1_3_2013-01-04,18308.00295495278
1_3_2013-01-11,18418.778106727583
1_3_2013-01-18,18529.55325850239
1_3_2013-01-25,18640.328410277194
1_3_2013-02-01,18751.103562051998
1_3_2013-02-08,18861.8787138268
1_3_2013-02-15,18972.65386560161
1_3_2013-02-22,19083.429017376413
1_3_2013-03-01,19194.204169151217
1_3_2013-03-08,19304.979320926024
1_3_2013-03-15,19415.754472700828
1_3_2013-03-22,19526.529624475632
1_3_2013-03-29,19637.304776250436
1_3_2013-04-05,19748.079928025243
1_3_2013-04-12,19858.855079800047
1_3_2013-04-19,19969.63023157485
1_3_2013-04-26,20080.40538334966
1_3_2013-05-03,20191.180535124462
1_3_2013-05-10,20301.955686899266
1_3_2013-05-17,20412.73083867407
1_3_2013-05-24,20523.505990448877
1_3_2013-05-31,20745.05629399849
1_3_2013-06-07,20855.831445773292
1_3_2013-06-14,20966.606597548096
1_3_2013-06-21,21188.156901097704
1_3_2013-06-28,21409.707204647315
1_3_2013-07-05,21631.257508196923
1_3_2013-07-12,21742.03265997173
1_3_2013-07-19,22074.35811529614
1_3_2013-07-26,22406.683570620557
1_4_2012-11-02,22517.458722395364
1_4_2012-11-09,22739.00902594497
1_4_2012-11-16,22849.784177719775
1_4_2012-11-23,22960.559329494583
1_4_2012-11-30,23735.98539191822
1_4_2012-12-07,24179.085999017436
1_4_2012-12-14,24289.86115079224
1_4_2012-12-21,24511.411454341855
1_4_2012-12-28,25065.287213215877
1_4_2013-01-04,25176.06236499068
1_4_2013-01-11,25286.83751676549
1_4_2013-01-18,25397.612668540292
1_4_2013-01-25,25508.387820315096
1_4_2013-02-01,25729.938123864704
1_4_2013-02-08,25951.488427414315
1_4_2013-02-15,26283.81388273873
1_4_2013-02-22,26394.589034513534
1_4_2013-03-01,26505.364186288338
1_4_2013-03-08,26616.13933806314
1_4_2013-03-15,26726.91448983795
1_4_2013-03-22,26837.689641612753
1_4_2013-03-29,26948.464793387557
1_4_2013-04-05,27059.23994516236
1_4_2013-04-12,27170.015096937168
1_4_2013-04-19,27280.79024871197
1_4_2013-04-26,15811.56469807745
1_4_2013-05-03,15922.339849852257
1_4_2013-05-10,16033.11500162706
1_4_2013-05-17,16143.890153401864
1_4_2013-05-24,16254.66530517667
1_4_2013-05-31,16365.440456951474
1_4_2013-06-07,16476.21560872628
1_4_2013-06-14,16586.990760501085
1_4_2013-06-21,16697.76591227589
1_4_2013-06-28,16808.541064050693
1_4_2013-07-05,16919.3162158255
1_4_2013-07-12,17030.091367600304
1_4_2013-07-19,17140.866519375108
1_4_2013-07-26,17251.64167114991
1_5_2012-11-02,17473.191974699523
1_5_2012-11-09,17583.96712647433
1_5_2012-11-16,17694.742278249134
1_5_2012-11-23,17805.517430023938
1_5_2012-11-30,17916.29258179874
1_5_2012-12-07,18027.06773357355
1_5_2012-12-14,18137.842885348353
1_5_2012-12-21,18248.618037123157
1_5_2012-12-28,18359.39318889796
1_5_2013-01-04,18470.168340672768
1_5_2013-01-11,18580.94349244757
1_5_2013-01-18,18691.718644222376
1_5_2013-01-25,18802.493795997183
1_5_2013-02-01,18913.268947771987
1_5_2013-02-08,19024.04409954679
1_5_2013-02-15,19134.819251321594
1_5_2013-02-22,19245.594403096402
1_5_2013-03-01,19356.369554871206
1_5_2013-03-08,19467.14470664601
1_5_2013-03-15,19577.919858420817
1_5_2013-03-22,19688.69501019562
1_5_2013-03-29,19799.470161970425
1_5_2013-04-05,19910.24531374523
1_5_2013-04-12,20131.79561729484
1_5_2013-04-19,20242.570769069644
1_5_2013-04-26,20353.345920844447
1_5_2013-05-03,20574.89622439406
1_5_2013-05-10,20796.44652794367
1_5_2013-05-17,21017.996831493278
1_5_2013-05-24,21128.77198326808
1_5_2013-05-31,21461.097438592496
1_5_2013-06-07,21682.647742142108
1_5_2013-06-14,21793.42289391691
1_5_2013-06-21,21904.198045691715
1_5_2013-06-28,22125.748349241327
1_5_2013-07-05,22236.52350101613
1_5_2013-07-12,22347.298652790938
1_5_2013-07-19,23122.724715214572
1_5_2013-07-26,23565.82532231379
1_6_2012-11-02,23676.600474088595
1_6_2012-11-09,23898.150777638206
1_6_2012-11-16,24452.02653651223
1_6_2012-11-23,24562.801688287036
1_6_2012-11-30,24673.57684006184
1_6_2012-12-07,24784.351991836644
1_6_2012-12-14,24895.127143611448
1_6_2012-12-21,25116.67744716106
1_6_2012-12-28,25338.227750710666
1_6_2013-01-04,25670.55320603508
1_6_2013-01-11,25781.32835780989
1_6_2013-01-18,25892.103509584693
1_6_2013-01-25,26002.878661359497
1_6_2013-02-01,26113.6538131343
1_6_2013-02-08,26224.428964909104
1_6_2013-02-15,26335.20411668391
1_6_2013-02-22,26445.979268458716
1_6_2013-03-01,26556.75442023352
1_6_2013-03-08,25083.33462872178
1_6_2013-03-15,25194.109780496583
1_6_2013-03-22,25304.884932271387
1_6_2013-03-29,25415.660084046194
1_6_2013-04-05,25526.435235820998
1_6_2013-04-12,25637.2103875958
1_6_2013-04-19,25747.985539370606
1_6_2013-04-26,25858.76069114541
1_6_2013-05-03,25969.535842920217
1_6_2013-05-10,26080.31099469502
1_6_2013-05-17,26191.086146469825
1_6_2013-05-24,26301.86129824463
1_6_2013-05-31,26412.636450019436
1_6_2013-06-07,26523.411601794243
1_6_2013-06-14,26744.96190534385
1_6_2013-06-21,26855.737057118655
1_6_2013-06-28,26966.51220889346
1_6_2013-07-05,27077.287360668266
1_6_2013-07-12,27188.06251244307
1_6_2013-07-19,27298.837664217877
1_6_2013-07-26,27409.61281599268
1_7_2012-11-02,27520.387967767485
1_7_2012-11-09,27631.16311954229
1_7_2012-11-16,27741.938271317093
1_7_2012-11-23,27852.7134230919
1_7_2012-11-30,27963.4885748667
1_7_2012-12-07,28074.26372664151
1_7_2012-12-14,28185.03887841631
1_7_2012-12-21,28295.81403019112
1_7_2012-12-28,28406.589181965923
1_7_2013-01-04,28517.364333740727
1_7_2013-01-11,28628.13948551553
1_7_2013-01-18,28738.914637290334
1_7_2013-01-25,28849.68978906514
1_7_2013-02-01,28960.46494083995
1_7_2013-02-08,29071.240092614753
1_7_2013-02-15,29182.015244389557
1_7_2013-02-22,29403.565547939168
1_7_2013-03-01,29514.340699713972
1_7_2013-03-08,29625.115851488772
1_7_2013-03-15,29846.666155038387
1_7_2013-03-22,30068.216458587995
1_7_2013-03-29,30289.766762137602
1_7_2013-04-05,30400.54191391241
1_7_2013-04-12,30732.86736923682
1_7_2013-04-19,30954.417672786432
1_7_2013-04-26,31065.192824561236
1_7_2013-05-03,31175.967976336044
1_7_2013-05-10,31397.518279885655
1_7_2013-05-17,31508.29343166046
1_7_2013-05-24,31619.068583435263
1_7_2013-05-31,32394.4946458589
1_7_2013-06-07,32837.59525295811
1_7_2013-06-14,32948.37040473292
1_7_2013-06-21,33169.92070828253
1_7_2013-06-28,33723.79646715656
1_7_2013-07-05,33834.57161893137
1_7_2013-07-12,33945.346770706165
