Id,Weekly_Sales
1_1_2012-11-02,24795.94645352175
1_1_2012-11-09,46903.85523507066
1_1_2012-11-16,10681.935396854069
1_1_2012-11-23,39394.59680246157
1_1_2012-11-30,31444.044677805854
1_1_2012-12-07,4453.579092317527
1_1_2012-12-14,29671.250278961837
1_1_2012-12-21,38166.06608733857
1_1_2012-12-28,31563.71479711318
1_1_2013-01-04,31115.43891514125
1_1_2013-01-11,23473.205049847536
1_1_2013-01-18,9781.836057787112
1_1_2013-01-25,39668.589111090696
1_1_2013-02-01,17601.068174693646
1_1_2013-02-08,8391.930460619971
1_1_2013-02-15,10045.142745971936
1_1_2013-02-22,14058.289869376815
1_1_2013-03-01,1256.9632288056282
1_1_2013-03-08,4031.254802700213
1_1_2013-03-15,7776.962607992037
1_1_2013-03-22,9044.276254861632
1_1_2013-03-29,24220.080806561342
1_1_2013-04-05,6712.231915861134
1_1_2013-04-12,10741.495732149982
1_1_2013-04-19,8590.20022655066
1_1_2013-04-26,1693.3833460293063
1_1_2013-05-03,697.2725195658021
1_1_2013-05-10,5264.50722860773
1_1_2013-05-17,2751.295370371035
1_1_2013-05-24,2267.051862523118
1_1_2013-05-31,8069.301339069118
1_1_2013-06-07,6538.525843740314
1_1_2013-06-14,11626.951514048329
1_1_2013-06-21,2659.715687679881
1_1_2013-06-28,1289.585222995827
1_1_2013-07-05,2827.4679851385335
1_1_2013-07-12,79367.59006575873
1_1_2013-07-19,60510.833732495215
1_1_2013-07-26,1861.7905739362736
1_2_2012-11-02,8017.90186147207
1_2_2012-11-09,6041.4477858845385
1_2_2012-11-16,19785.873005381658
1_2_2012-11-23,1747.790066026833
1_2_2012-11-30,10221.508813113476
1_2_2012-12-07,2458.050147828913
1_2_2012-12-14,17489.42124114484
1_2_2012-12-21,1366.348199285466
1_2_2012-12-28,4125.948760552652
1_2_2013-01-04,763.3573901678814
1_2_2013-01-11,919.8319981595021
1_2_2013-01-18,6798.898989523774
1_2_2013-01-25,2665.6067466515433
1_2_2013-02-01,51128.247752572635
1_2_2013-02-08,11586.108675690466
1_2_2013-02-15,36009.742370359585
1_2_2013-02-22,19419.58631570045
1_2_2013-03-01,30040.17481303105
1_2_2013-03-08,22068.875621734143
1_2_2013-03-15,5235.255555698027
1_2_2013-03-22,3380.461465970916
1_2_2013-03-29,53697.9886483574
1_2_2013-04-05,91193.03667164782
1_2_2013-04-12,66286.0348205378
1_2_2013-04-19,161863.13676992798
1_2_2013-04-26,79138.01995581598
1_2_2013-05-03,61201.47640390787
1_2_2013-05-10,116649.08170188354
1_2_2013-05-17,32992.69081575387
1_2_2013-05-24,35704.29575899806
1_2_2013-05-31,13084.48349125508
1_2_2013-06-07,275.65966918122217
1_2_2013-06-14,21711.70140815082
1_2_2013-06-21,48067.9475596085
1_2_2013-06-28,10137.320062211187
1_2_2013-07-05,39418.66610491141
1_2_2013-07-12,31053.7958332441
1_2_2013-07-19,3832.819889618023
1_2_2013-07-26,29352.81667734718
1_3_2012-11-02,38478.153945251695
1_3_2012-11-09,31381.804454289635
1_3_2012-11-16,31430.96331939073
1_3_2012-11-23,23080.488611355013
1_3_2012-11-30,9562.85487954593
1_3_2012-12-07,40180.82176691554
1_3_2012-12-14,17214.782853247365
1_3_2012-12-21,8723.052813253915
1_3_2012-12-28,9957.190143469046
1_3_2013-01-04,13475.102311292374
1_3_2013-01-11,1096.7606659795808
1_3_2013-01-18,3932.731019574386
1_3_2013-01-25,7459.910567912022
1_3_2013-02-01,8929.155734112257
1_3_2013-02-08,23806.081818100654
1_3_2013-02-15,6596.99047474588
1_3_2013-02-22,10648.683958131083
1_3_2013-03-01,8520.778790479775
1_3_2013-03-08,1476.843193132418
1_3_2013-03-15,545.5305464078464
1_3_2013-03-22,5049.816261154068
1_3_2013-03-29,2557.358454307642
1_3_2013-04-05,2186.083590389843
1_3_2013-04-12,7749.202133948458
1_3_2013-04-19,6509.65000156581
1_3_2013-04-26,11560.028763592261
1_3_2013-05-03,2350.574995741654
1_3_2013-05-10,1058.3244434147527
1_3_2013-05-17,2789.6346923820583
1_3_2013-05-24,80938.95819015345
1_3_2013-05-31,60988.60742257475
1_3_2013-06-07,1628.5332809615052
1_3_2013-06-14,7763.008926440458
1_3_2013-06-21,5848.984748772538
1_3_2013-06-28,19464.95458384246
1_3_2013-07-05,1476.5552888879608
1_3_2013-07-12,10122.93802741232
1_3_2013-07-19,2260.462981508553
1_3_2013-07-26,17226.555229160393
1_4_2012-11-02,1100.6339385051842
1_4_2012-11-09,4039.5859997800694
1_4_2012-11-16,431.38710505398126
1_4_2012-11-23,758.8784997837906
1_4_2012-11-30,6348.726872845382
1_4_2012-12-07,2649.664246992618
1_4_2012-12-14,48013.16411500999
1_4_2012-12-21,11489.610502202348
1_4_2012-12-28,36393.08291169516
1_4_2013-01-04,19202.273584264767
1_4_2013-01-11,29997.712398662385
1_4_2013-01-18,21931.97088866059
1_4_2013-01-25,5035.6912613714085
1_4_2013-02-01,3142.756801472016
1_4_2013-02-08,54685.87068514807
1_4_2013-02-15,91770.8886606995
1_4_2013-02-22,67017.80125535863
1_4_2013-03-01,163607.4474806455
1_4_2013-03-08,80929.12541551674
1_4_2013-03-15,61553.173012825966
1_4_2013-03-22,118767.42530063025
1_4_2013-03-29,33374.933615040856
1_4_2013-04-05,35715.06114611246
1_4_2013-04-12,12945.47445830922
1_4_2013-04-19,-17.009266279288173
1_4_2013-04-26,23953.161667634857
1_4_2013-05-03,47456.230568895684
1_4_2013-05-10,9795.554050536279
1_4_2013-05-17,39441.266580353324
1_4_2013-05-24,29932.420704481832
1_4_2013-05-31,4279.317836849753
1_4_2013-06-07,28955.83033384403
1_4_2013-06-14,38179.398770800886
1_4_2013-06-21,29746.485653971442
1_4_2013-06-28,31129.43738221149
1_4_2013-07-05,23704.073391580925
1_4_2013-07-12,9507.011999208935
1_4_2013-07-19,38975.839395434756
1_4_2013-07-26,17500.054711826233
1_5_2012-11-02,7829.449438420979
1_5_2012-11-09,9899.371052506604
1_5_2012-11-16,14413.000434455265
1_5_2012-11-23,1219.0028946899265
1_5_2012-11-30,3922.8222404706107
1_5_2012-12-07,7644.28900714399
1_5_2012-12-14,8847.282082209449
1_5_2012-12-21,23749.964939350346
1_5_2012-12-28,6631.129354919896
1_5_2013-01-04,10879.64462365386
1_5_2013-01-11,8391.096195761223
1_5_2013-01-18,1742.309875352516
1_5_2013-01-25,673.1739848158323
1_5_2013-02-01,5258.426710910471
1_5_2013-02-08,2648.6544776492283
1_5_2013-02-15,2162.9451813727437
1_5_2013-02-22,7979.342420630949
1_5_2013-03-01,6574.569782101312
1_5_2013-03-08,11480.70454895353
1_5_2013-03-15,2510.186699399494
1_5_2013-03-22,1362.7143410697797
1_5_2013-03-29,2747.8152461721693
1_5_2013-04-05,78954.94108830909
1_5_2013-04-12,60263.355451587704
1_5_2013-04-19,1777.8105298138098
1_5_2013-04-26,7830.692130930559
1_5_2013-05-03,5886.613801558916
1_5_2013-05-10,19979.60787651679
1_5_2013-05-17,1731.725996147618
1_5_2013-05-24,9871.039104238072
1_5_2013-05-31,2471.9473364686482
1_5_2013-06-07,-61.043418705186866
1_5_2013-06-14,16677.581278877202
1_5_2013-06-21,1117.8000318808558
1_5_2013-06-28,4311.9960995649335
1_5_2013-07-05,684.3928192041741
1_5_2013-07-12,916.8132480181408
1_5_2013-07-19,6908.707149844086
1_5_2013-07-26,2543.6360651735913
1_6_2012-11-02,46035.61903527904
1_6_2012-11-09,11357.12561353493
1_6_2012-11-16,35121.5026183756
1_6_2012-11-23,19236.562782738485
1_6_2012-11-30,29813.96798025069
1_6_2012-12-07,22472.346541931423
1_6_2012-12-14,5254.0713896436255
1_6_2012-12-21,3397.559211694663
1_6_2012-12-28,52252.27476380176
1_6_2013-01-04,91789.82198680968
1_6_2013-01-11,66139.46847416705
1_6_2013-01-18,163779.95424581744
1_6_2013-01-25,81343.85865920856
1_6_2013-02-01,60654.60515820388
1_6_2013-02-08,116719.35092023844
1_6_2013-02-15,33102.22603144174
1_6_2013-02-22,35906.47991907201
1_6_2013-03-01,13149.35816046555
1_6_2013-03-08,17438.8022201471
1_6_2013-03-15,38094.708796728235
1_6_2013-03-22,8380.863146543286
1_6_2013-03-29,46448.112882177644
1_6_2013-04-05,87772.3387037597
1_6_2013-04-12,23821.45830192536
1_6_2013-04-19,81569.19274498678
1_6_2013-04-26,34515.9230667609
1_6_2013-05-03,39975.28527322072
1_6_2013-05-10,31423.59275822824
1_6_2013-05-17,26683.048768406778
1_6_2013-05-24,9424.397213633034
1_6_2013-05-31,36447.44580598521
1_6_2013-06-07,48017.93235701785
1_6_2013-06-14,7769.792680832856
1_6_2013-06-21,15259.427561942146
1_6_2013-06-28,33366.70900129715
1_6_2013-07-05,1193.2258695132534
1_6_2013-07-12,6649.299466056195
1_6_2013-07-19,9322.880854307417
1_6_2013-07-26,20546.359358204078
1_7_2012-11-02,27145.216875676335
1_7_2012-11-09,12664.06783362799
1_7_2012-11-16,11831.677616703288
1_7_2012-11-23,12227.198043757264
1_7_2012-11-30,2739.0545019335996
1_7_2012-12-07,820.6980493302756
1_7_2012-12-14,7521.479589075199
1_7_2012-12-21,2395.3239983319468
1_7_2012-12-28,2410.3361465066514
1_7_2013-01-04,10502.983344918728
1_7_2013-01-11,11658.929845653647
1_7_2013-01-18,13021.149695729633
1_7_2013-01-25,2633.7345738938957
1_7_2013-02-01,796.6379046938425
1_7_2013-02-08,3039.6460678611516
1_7_2013-02-15,68089.09334888757
1_7_2013-02-22,53151.59231345683
1_7_2013-03-01,1991.6817768648543
1_7_2013-03-08,7678.715143772017
1_7_2013-03-15,8856.032656436799
1_7_2013-03-22,18850.795936399383
1_7_2013-03-29,2382.2894281609556
1_7_2013-04-05,8228.234936634886
1_7_2013-04-12,4535.271502792047
1_7_2013-04-19,-235.29980474893
1_7_2013-04-26,39246.0407219131
1_7_2013-05-03,1670.3235469042675
1_7_2013-05-10,3879.782582619558
1_7_2013-05-17,1250.586738451631
1_7_2013-05-24,543.9673030769022
1_7_2013-05-31,5531.800180679719
1_7_2013-06-07,8162.980517175392
1_7_2013-06-14,218656.6864674804
1_7_2013-06-21,22558.606170430172
1_7_2013-06-28,35986.71262138306
1_7_2013-07-05,17829.05049321843
1_7_2013-07-12,29995.927274205023
1_7_2013-07-19,25107.870560005456
1_7_2013-07-26,4880.081269864344
1_8_2012-11-02,3612.307701310148
1_8_2012-11-09,49474.169693654614
1_8_2012-11-16,101743.46401444792
1_8_2012-11-23,64349.18498394321
1_8_2012-11-30,177274.73321282875
1_8_2012-12-07,82313.31828463326
1_8_2012-12-14,67589.94159264876
1_8_2012-12-21,112912.65856974375
1_8_2012-12-28,40684.944972492005
1_8_2013-01-04,32380.11538491732
1_8_2013-01-11,17802.431658893325
1_8_2013-01-18,2874.5066826772972
1_8_2013-01-25,27577.320317861904
1_8_2013-02-01,50211.64884305173
1_8_2013-02-08,10014.013272937738
1_8_2013-02-15,43688.44589685767
1_8_2013-02-22,52280.01889491719
1_8_2013-03-01,8341.882206837601
1_8_2013-03-08,62371.98418898498
1_8_2013-03-15,42530.774922119235
1_8_2013-03-22,35290.54671495345
1_8_2013-03-29,32564.13296861076
1_8_2013-04-05,25718.880689326244
1_8_2013-04-12,9950.036503639476
1_8_2013-04-19,39215.92189424372
1_8_2013-04-26,27019.13046091963
1_8_2013-05-03,7605.249529198473
1_8_2013-05-10,13130.585786594489
1_8_2013-05-17,16370.108209059117
1_8_2013-05-24,1441.9258186078953
1_8_2013-05-31,4757.350938626884
1_8_2013-06-07,9049.636084298272
1_8_2013-06-14,11875.211383168502
1_8_2013-06-21,29729.457881270875
1_8_2013-06-28,8197.548293249954
1_8_2013-07-05,11784.422287293823
1_8_2013-07-12,10092.383547272948
1_8_2013-07-19,2585.927715248147
1_8_2013-07-26,1015.1946089704215
1_9_2012-11-02,6916.793484413854
1_9_2012-11-09,2956.7412022846747
1_9_2012-11-16,2803.552642768668
1_9_2012-11-23,11419.797624228597
1_9_2012-11-30,8203.427362380824
1_9_2012-12-07,12688.65535490364
1_9_2012-12-14,3079.5510097848155
1_9_2012-12-21,1615.4967049093477
1_9_2012-12-28,3216.667347152679
1_9_2013-01-04,74579.74224122065
1_9_2013-01-11,59527.214389631
1_9_2013-01-18,2769.0255259457927
1_9_2013-01-25,8082.939168835516
1_9_2013-02-01,7189.581034496392
1_9_2013-02-08,105.43042267926401
1_9_2013-02-15,24265.289723866717
1_9_2013-02-22,3351.6102902249995
1_9_2013-03-01,9502.436442993387
1_9_2013-03-08,3374.9334825698793
1_9_2013-03-15,291.18498941156963
1_9_2013-03-22,22553.63252481034
1_9_2013-03-29,1627.31279690761
1_9_2013-04-05,4553.124769850191
1_9_2013-04-12,1151.417262879145
1_9_2013-04-19,993.9696627260148
1_9_2013-04-26,8169.253356311726
1_9_2013-05-03,3956.950966519494
1_9_2013-05-10,80242.4692037674
1_9_2013-05-17,13022.669983247724
1_9_2013-05-24,36694.42229294625
1_9_2013-05-31,19453.00935031257
1_9_2013-06-07,30699.534969304103
1_9_2013-06-14,33859.684548684636
1_9_2013-06-21,5437.645401389349
1_9_2013-06-28,4714.883281044957
1_9_2013-07-05,51883.74428976619
1_9_2013-07-12,98988.73033894907
1_9_2013-07-19,65967.4605292424
1_9_2013-07-26,170660.61861256728
