Id,Weekly_Sales
1_1_2012-11-02,29531.67970000001
1_1_2012-11-09,42186.2613
1_1_2012-11-16,20271.708300000002
1_1_2012-11-23,35561.1166
1_1_2012-11-30,25601.602900000024
1_1_2012-12-07,9348.861100000007
1_1_2012-12-14,24680.8103
1_1_2012-12-21,36194.6176
1_1_2012-12-28,34791.6687
1_1_2013-01-04,28835.985000000004
1_1_2013-01-11,22277.40959999999
1_1_2013-01-18,15545.372400000002
1_1_2013-01-25,27824.632699999995
1_1_2013-02-01,24485.270800000006
1_1_2013-02-08,20887.676300000006
1_1_2013-02-15,11268.836300000006
1_1_2013-02-22,4056.097399999999
1_1_2013-03-01,3956.274500000001
1_1_2013-03-08,5257.2578
1_1_2013-03-15,8630.710599999999
1_1_2013-03-22,11642.218000000003
1_1_2013-03-29,15603.943100000002
1_1_2013-04-05,10099.717099999994
1_1_2013-04-12,11031.593900000002
1_1_2013-04-19,6787.298500000002
1_1_2013-04-26,2595.3203
1_1_2013-05-03,1859.3851999999997
1_1_2013-05-10,3607.2956999999988
1_1_2013-05-17,3514.9689000000003
1_1_2013-05-24,4828.8079
1_1_2013-05-31,7101.673799999998
1_1_2013-06-07,8356.5639
1_1_2013-06-14,10938.142600000005
1_1_2013-06-21,4834.017999999999
1_1_2013-06-28,2534.8809
1_1_2013-07-05,15875.205100000003
1_1_2013-07-12,55384.1369
1_1_2013-07-19,50955.78299999997
1_1_2013-07-26,23054.712399999993
1_2_2012-11-02,6329.175800000002
1_2_2012-11-09,5925.8026999999975
1_2_2012-11-16,14656.845300000003
1_2_2012-11-23,4176.8726
1_2_2012-11-30,10457.047499999997
1_2_2012-12-07,2329.210299999999
1_2_2012-12-14,7657.323899999998
1_2_2012-12-21,7412.470700000002
1_2_2012-12-28,3687.1722999999997
1_2_2013-01-04,848.2726999999998
1_2_2013-01-11,1066.6146999999999
1_2_2013-01-18,7466.913600000001
1_2_2013-01-25,22486.884900000015
1_2_2013-02-01,37767.8145
1_2_2013-02-08,22309.231200000006
1_2_2013-02-15,30120.554600000003
1_2_2013-02-22,21050.237600000004
1_2_2013-03-01,28736.233200000013
1_2_2013-03-08,21408.7608
1_2_2013-03-15,11938.178800000005
1_2_2013-03-22,4111.026999999999
1_2_2013-03-29,41719.19769999999
1_2_2013-04-05,86469.6508
1_2_2013-04-12,76724.44380000005
1_2_2013-04-19,129042.21749999994
1_2_2013-04-26,84349.57829999996
1_2_2013-05-03,64848.18630000003
1_2_2013-05-10,105611.99620000005
1_2_2013-05-17,41904.78740000001
1_2_2013-05-24,33933.52940000001
1_2_2013-05-31,13674.663699999997
1_2_2013-06-07,10175.483000000002
1_2_2013-06-14,25069.58919999999
1_2_2013-06-21,42445.65020000001
1_2_2013-06-28,19174.858799999998
1_2_2013-07-05,34558.212100000004
1_2_2013-07-12,25094.732100000005
1_2_2013-07-19,9611.377700000003
1_2_2013-07-26,26237.18200000001
1_3_2012-11-02,36679.40860000001
1_3_2012-11-09,34182.0293
1_3_2012-11-16,28188.274499999992
1_3_2012-11-23,21652.6194
1_3_2012-11-30,16911.594899999996
1_3_2012-12-07,32558.799799999993
1_3_2012-12-14,26072.98049999999
1_3_2012-12-21,19120.493400000007
1_3_2012-12-28,10344.510600000001
1_3_2013-01-04,6913.655900000001
1_3_2013-01-11,5639.144600000002
1_3_2013-01-18,5267.033099999998
1_3_2013-01-25,8511.363700000002
1_3_2013-02-01,12396.75630000001
1_3_2013-02-08,17335.958899999998
1_3_2013-02-15,11006.739600000004
1_3_2013-02-22,11133.169
1_3_2013-03-01,8577.341299999998
1_3_2013-03-08,2432.647499999999
1_3_2013-03-15,2273.6848999999993
1_3_2013-03-22,4050.2951999999977
1_3_2013-03-29,4200.737900000001
1_3_2013-04-05,5100.9916
1_3_2013-04-12,7588.603599999999
1_3_2013-04-19,9637.346400000002
1_3_2013-04-26,11289.693300000008
1_3_2013-05-03,4639.373000000003
1_3_2013-05-10,3690.1236999999983
1_3_2013-05-17,16347.225499999999
1_3_2013-05-24,64038.49949999999
1_3_2013-05-31,58456.77209999999
1_3_2013-06-07,10403.8023
1_3_2013-06-14,7319.071400000002
1_3_2013-06-21,5992.2158
1_3_2013-06-28,17172.317399999996
1_3_2013-07-05,3424.7505000000006
1_3_2013-07-12,9685.182299999999
1_3_2013-07-19,3177.2895000000017
1_3_2013-07-26,8736.225100000003
1_4_2012-11-02,6569.192999999998
1_4_2012-11-09,4269.9344
1_4_2012-11-16,646.0110000000004
1_4_2012-11-23,639.0173000000003
1_4_2012-11-30,8386.3525
1_4_2012-12-07,16977.981300000003
1_4_2012-12-14,43632.420699999995
1_4_2012-12-21,14007.822200000002
1_4_2012-12-28,28943.828199999993
1_4_2013-01-04,22916.510900000005
1_4_2013-01-11,28572.41959999998
1_4_2013-01-18,21725.773600000008
1_4_2013-01-25,12551.365500000013
1_4_2013-02-01,3731.1452000000004
1_4_2013-02-08,42200.7348
1_4_2013-02-15,87946.89470000002
1_4_2013-02-22,83902.38100000004
1_4_2013-03-01,138907.50759999998
1_4_2013-03-08,86694.65590000001
1_4_2013-03-15,65064.52119999998
1_4_2013-03-22,111942.55240000004
1_4_2013-03-29,42980.4933
