Id,Weekly_Sales
1_1_2012-11-02,25258.630400000013
1_1_2012-11-09,46313.865500000014
1_1_2012-11-16,12049.722700000002
1_1_2012-11-23,38747.7733
1_1_2012-11-30,29855.854
1_1_2012-12-07,3242.4402
1_1_2012-12-14,19116.224499999997
1_1_2012-12-21,38974.69270000001
1_1_2012-12-28,29114.0034
1_1_2013-01-04,31886.79629999999
1_1_2013-01-11,22911.025700000002
1_1_2013-01-18,9652.560600000003
1_1_2013-01-25,41332.854600000006
1_1_2013-02-01,14215.000800000002
1_1_2013-02-08,9953.3267
1_1_2013-02-15,8728.890799999996
1_1_2013-02-22,7755.798200000002
1_1_2013-03-01,1035.2178
1_1_2013-03-08,4222.8253
1_1_2013-03-15,7600.133000000004
1_1_2013-03-22,8349.083900000001
1_1_2013-03-29,19548.268000000007
1_1_2013-04-05,6711.623
1_1_2013-04-12,9259.718799999997
1_1_2013-04-19,7683.071399999998
1_1_2013-04-26,1611.5230000000008
1_1_2013-05-03,689.2855000000002
1_1_2013-05-10,4640.247999999998
1_1_2013-05-17,2728.8243000000007
1_1_2013-05-24,2101.6021000000005
1_1_2013-05-31,7001.651399999995
1_1_2013-06-07,7201.323899999997
1_1_2013-06-14,11151.065599999996
1_1_2013-06-21,1832.4359000000006
1_1_2013-06-28,1265.707100000001
1_1_2013-07-05,2763.6320000000005
1_1_2013-07-12,80271.4277
1_1_2013-07-19,61561.457
1_1_2013-07-26,607.9624000000002
1_2_2012-11-02,7665.2427999999945
1_2_2012-11-09,6126.4693999999945
1_2_2012-11-16,18981.342299999993
1_2_2012-11-23,1005.66
1_2_2012-11-30,10066.136800000002
1_2_2012-12-07,1995.5475999999999
1_2_2012-12-14,15999.8243
1_2_2012-12-21,1990.218099999999
1_2_2012-12-28,3540.0442
1_2_2013-01-04,242.80550000000002
1_2_2013-01-11,993.9960000000002
1_2_2013-01-18,6957.6974
1_2_2013-01-25,2763.5684999999985
1_2_2013-02-01,53824.9185
1_2_2013-02-08,10657.921999999997
1_2_2013-02-15,38515.0342
1_2_2013-02-22,20225.325999999986
1_2_2013-03-01,31366.148699999998
1_2_2013-03-08,19908.39320000002
1_2_2013-03-15,6031.876000000002
1_2_2013-03-22,3119.6376
1_2_2013-03-29,55054.57399999998
1_2_2013-04-05,91272.89539999994
1_2_2013-04-12,69813.84350000002
1_2_2013-04-19,151476.4756000001
1_2_2013-04-26,78426.62649999997
1_2_2013-05-03,64580.455800000025
1_2_2013-05-10,118043.1358
1_2_2013-05-17,36649.9369
1_2_2013-05-24,37717.28830000001
1_2_2013-05-31,13257.456699999997
1_2_2013-06-07,243.195
1_2_2013-06-14,24310.3361
1_2_2013-06-21,46229.45110000002
1_2_2013-06-28,11273.506100000006
1_2_2013-07-05,37575.049800000015
1_2_2013-07-12,29329.0577
1_2_2013-07-19,3213.2401
1_2_2013-07-26,19489.663000000004
1_3_2012-11-02,38858.4413
1_3_2012-11-09,29914.780299999995
1_3_2012-11-16,31840.77169999998
1_3_2012-11-23,22668.810699999995
1_3_2012-11-30,9907.671500000002
1_3_2012-12-07,42364.43159999998
1_3_2012-12-14,14923.025300000005
1_3_2012-12-21,12361.520099999996
1_3_2012-12-28,8942.802499999998
1_3_2013-01-04,11807.342400000005
1_3_2013-01-11,1059.1081
1_3_2013-01-18,4019.527200000001
1_3_2013-01-25,7592.293700000004
1_3_2013-02-01,8402.997400000004
1_3_2013-02-08,20018.616300000005
1_3_2013-02-15,6911.558999999999
1_3_2013-02-22,9588.179499999997
1_3_2013-03-01,7497.848199999996
1_3_2013-03-08,1657.8598000000006
1_3_2013-03-15,640.6282
1_3_2013-03-22,4464.8081
1_3_2013-03-29,2743.1716
1_3_2013-04-05,2208.3382999999985
1_3_2013-04-12,6183.215800000003
1_3_2013-04-19,7376.007599999995
1_3_2013-04-26,10958.037499999999
1_3_2013-05-03,2004.5407000000016
1_3_2013-05-10,1180.9490000000003
1_3_2013-05-17,2942.972000000001
1_3_2013-05-24,77629.50589999997
1_3_2013-05-31,63204.02249999999
1_3_2013-06-07,574.0460999999999
1_3_2013-06-14,8333.894099999992
1_3_2013-06-21,6021.076599999995
1_3_2013-06-28,18701.1802
1_3_2013-07-05,1076.7696000000003
1_3_2013-07-12,9798.510400000005
1_3_2013-07-19,1893.0620999999994
1_3_2013-07-26,14028.475000000008
1_4_2012-11-02,1879.963499999999
1_4_2012-11-09,3850.9768
1_4_2012-11-16,478.01009999999985
1_4_2012-11-23,893.6819999999998
1_4_2012-11-30,6154.887200000001
1_4_2012-12-07,2166.3069
1_4_2012-12-14,48811.35800000001
1_4_2012-12-21,11255.9375
1_4_2012-12-28,43343.095199999974
1_4_2013-01-04,19514.69969999999
1_4_2013-01-11,30987.389099999997
1_4_2013-01-18,20424.906100000015
1_4_2013-01-25,5986.7892
1_4_2013-02-01,3149.7321000000006
1_4_2013-02-08,59247.621099999975
1_4_2013-02-15,89763.1151
1_4_2013-02-22,69056.07090000002
1_4_2013-03-01,150484.14360000004
1_4_2013-03-08,79350.96220000001
1_4_2013-03-15,62395.52870000003
1_4_2013-03-22,116130.42949999995
1_4_2013-03-29,35115.81909999998
1_4_2013-04-05,36420.5449
1_4_2013-04-12,12971.472899999995
1_4_2013-04-19,140.5534
1_4_2013-04-26,22747.3858
1_4_2013-05-03,47834.971499999985
1_4_2013-05-10,12818.10960000001
1_4_2013-05-17,40689.42159999998
1_4_2013-05-24,42542.959299999966
1_4_2013-05-31,3381.440800000001
1_4_2013-06-07,29086.5634
1_4_2013-06-14,39367.3469
1_4_2013-06-21,26526.50339999999
1_4_2013-06-28,30401.23490000001
1_4_2013-07-05,26449.502599999996
1_4_2013-07-12,8707.230999999998
1_4_2013-07-19,38028.270399999994
1_4_2013-07-26,24118.44950000001
1_5_2012-11-02,9094.696999999998
1_5_2012-11-09,10009.685699999996
1_5_2012-11-16,11449.5443
1_5_2012-11-23,1182.6864
1_5_2012-11-30,3804.880000000003
1_5_2012-12-07,7697.231100000002
1_5_2012-12-14,8925.553400000003
1_5_2012-12-21,35370.96400000001
1_5_2012-12-28,5678.037599999999
1_5_2013-01-04,9769.204999999998
1_5_2013-01-11,6874.918900000006
1_5_2013-01-18,1751.5552000000002
1_5_2013-01-25,650.9061000000003
1_5_2013-02-01,8347.422399999987
1_5_2013-02-08,2379.8043000000016
1_5_2013-02-15,2384.338199999999
1_5_2013-02-22,18760.433400000005
1_5_2013-03-01,9914.4375
1_5_2013-03-08,12100.70579999999
1_5_2013-03-15,1977.7715000000012
1_5_2013-03-22,1216.0892000000008
1_5_2013-03-29,2534.154700000002
1_5_2013-04-05,78894.73270000001
1_5_2013-04-12,60645.68670000006
1_5_2013-04-19,492.9071
1_5_2013-04-26,7480.791099999998
1_5_2013-05-03,5864.021399999994
1_5_2013-05-10,19235.730899999984
1_5_2013-05-17,1133.1394000000003
1_5_2013-05-24,9430.525800000005
1_5_2013-05-31,1916.4609000000005
1_5_2013-06-07,77.44040000000005
1_5_2013-06-14,13412.462100000004
1_5_2013-06-21,1668.6745999999998
1_5_2013-06-28,3660.5039999999995
1_5_2013-07-05,386.0238000000001
1_5_2013-07-12,960.5400000000003
1_5_2013-07-19,6864.771200000004
1_5_2013-07-26,2393.3426999999992
1_6_2012-11-02,48135.27029999998
1_6_2012-11-09,10818.5159
1_6_2012-11-16,32919.36130000002
1_6_2012-11-23,19599.765300000006
1_6_2012-11-30,30928.998199999998
1_6_2012-12-07,44443.239100000035
