Id,Weekly_Sales
1_1_2012-11-02,27503.358600000018
1_1_2012-11-09,47968.91510000003
1_1_2012-11-16,11273.2566
1_1_2012-11-23,38786.420900000005
1_1_2012-11-30,32639.409100000004
1_1_2012-12-07,3870.276600000002
1_1_2012-12-14,25665.1594
1_1_2012-12-21,40116.7872
1_1_2012-12-28,38502.037999999986
1_1_2013-01-04,30125.623099999983
1_1_2013-01-11,24600.195299999985
1_1_2013-01-18,9563.467099999996
1_1_2013-01-25,41907.06440000002
1_1_2013-02-01,14682.024899999986
1_1_2013-02-08,6493.569099999996
1_1_2013-02-15,9090.473800000002
1_1_2013-02-22,13082.673600000002
1_1_2013-03-01,1326.1584999999989
1_1_2013-03-08,3406.759
1_1_2013-03-15,8186.748800000002
1_1_2013-03-22,7873.928700000005
1_1_2013-03-29,23938.271300000004
1_1_2013-04-05,7982.123199999997
1_1_2013-04-12,10739.1226
1_1_2013-04-19,8982.650399999999
1_1_2013-04-26,1791.813400000001
1_1_2013-05-03,768.6353999999998
1_1_2013-05-10,4730.951299999997
1_1_2013-05-17,2548.957700000001
1_1_2013-05-24,1912.5492999999988
1_1_2013-05-31,6611.7410999999975
1_1_2013-06-07,6472.009399999996
1_1_2013-06-14,12138.946200000004
1_1_2013-06-21,1928.8025999999998
1_1_2013-06-28,1738.3275999999998
1_1_2013-07-05,2642.044200000001
1_1_2013-07-12,80566.52280000002
1_1_2013-07-19,61539.00459999998
1_1_2013-07-26,1256.8567
1_2_2012-11-02,7556.826799999992
1_2_2012-11-09,6049.521699999997
1_2_2012-11-16,17879.02529999999
1_2_2012-11-23,2157.44
1_2_2012-11-30,8245.143499999995
1_2_2012-12-07,2208.466500000001
1_2_2012-12-14,20603.09620000002
1_2_2012-12-21,1361.6161000000004
1_2_2012-12-28,4808.42
1_2_2013-01-04,561.3588000000001
1_2_2013-01-11,1113.412
1_2_2013-01-18,6147.4661000000015
1_2_2013-01-25,2414.5706
1_2_2013-02-01,49307.77169999999
1_2_2013-02-08,9181.1485
1_2_2013-02-15,41267.39459999996
1_2_2013-02-22,20728.66949999998
1_2_2013-03-01,31713.116400000006
1_2_2013-03-08,20685.5031
1_2_2013-03-15,6064.844
1_2_2013-03-22,3342.2473999999997
1_2_2013-03-29,60571.657099999975
1_2_2013-04-05,95363.43850000005
1_2_2013-04-12,69008.93220000001
1_2_2013-04-19,156909.88570000004
1_2_2013-04-26,78790.2525
1_2_2013-05-03,64472.67089999999
1_2_2013-05-10,122538.56609999995
1_2_2013-05-17,34106.02739999999
1_2_2013-05-24,36293.51310000001
1_2_2013-05-31,14276.663899999996
1_2_2013-06-07,450.7458999999999
1_2_2013-06-14,21133.140099999993
1_2_2013-06-21,47187.815100000014
1_2_2013-06-28,11601.301999999998
1_2_2013-07-05,38549.76589999999
1_2_2013-07-12,33149.46520000002
1_2_2013-07-19,4217.225700000001
1_2_2013-07-26,25791.084499999994
1_3_2012-11-02,40079.8258
1_3_2012-11-09,37479.56789999998
1_3_2012-11-16,29688.609199999984
1_3_2012-11-23,24042.188399999995
1_3_2012-11-30,9775.90389999999
1_3_2012-12-07,42311.12289999997
1_3_2012-12-14,17163.8998
1_3_2012-12-21,6600.961099999998
1_3_2012-12-28,9117.113999999998
1_3_2013-01-04,12533.634900000006
1_3_2013-01-11,1226.550499999999
1_3_2013-01-18,3383.9563000000016
1_3_2013-01-25,8038.5714
1_3_2013-02-01,7625.846600000003
1_3_2013-02-08,22514.261100000014
1_3_2013-02-15,7908.476399999996
1_3_2013-02-22,10353.913499999997
1_3_2013-03-01,8882.522199999998
1_3_2013-03-08,1725.6325000000008
1_3_2013-03-15,688.707
1_3_2013-03-22,4725.513799999999
1_3_2013-03-29,2701.9396000000006
1_3_2013-04-05,2198.007299999998
1_3_2013-04-12,6146.001599999998
1_3_2013-04-19,6472.464899999993
1_3_2013-04-26,11071.549299999995
1_3_2013-05-03,2167.6746000000003
1_3_2013-05-10,1531.4088000000006
1_3_2013-05-17,2683.154700000002
1_3_2013-05-24,75269.0294
1_3_2013-05-31,61594.56219999998
1_3_2013-06-07,1237.805
1_3_2013-06-14,7717.7350999999935
1_3_2013-06-21,6213.849199999994
1_3_2013-06-28,17791.03439999999
1_3_2013-07-05,1937.91
1_3_2013-07-12,8337.037999999997
1_3_2013-07-19,2063.1755
1_3_2013-07-26,22270.56190000002
1_4_2012-11-02,1940.3624999999997
1_4_2012-11-09,4704.88
1_4_2012-11-16,599.8901000000002
1_4_2012-11-23,1005.6539999999997
1_4_2012-11-30,6133.0325
1_4_2012-12-07,2269.8335000000015
1_4_2012-12-14,44089.38849999996
1_4_2012-12-21,9012.8455
1_4_2012-12-28,43787.31219999996
1_4_2013-01-04,20452.305299999975
1_4_2013-01-11,31259.59570000001
1_4_2013-01-18,20947.453000000012
1_4_2013-01-25,6033.212999999997
1_4_2013-02-01,3185.5101
1_4_2013-02-08,60849.813599999994
1_4_2013-02-15,93990.30500000004
1_4_2013-02-22,68811.54440000006
1_4_2013-03-01,153160.22800000006
1_4_2013-03-08,80385.11789999998
1_4_2013-03-15,64365.160199999984
1_4_2013-03-22,122265.68539999991
1_4_2013-03-29,34519.67099999999
1_4_2013-04-05,35749.56480000001
1_4_2013-04-12,14432.676999999994
1_4_2013-04-19,428.8471
1_4_2013-04-26,24692.089400000008
1_4_2013-05-03,45984.44050000002
1_4_2013-05-10,10985.361800000002
1_4_2013-05-17,39320.78180000002
1_4_2013-05-24,30186.043500000018
1_4_2013-05-31,4172.142200000001
1_4_2013-06-07,24941.207000000002
1_4_2013-06-14,40098.09400000002
1_4_2013-06-21,36902.174399999974
1_4_2013-06-28,29911.203799999996
1_4_2013-07-05,25106.92109999999
1_4_2013-07-12,9030.837699999996
1_4_2013-07-19,38509.147799999984
1_4_2013-07-26,16092.382299999981
1_5_2012-11-02,6388.164000000002
1_5_2012-11-09,9306.602999999994
1_5_2012-11-16,13707.080399999995
1_5_2012-11-23,1328.5787999999986
1_5_2012-11-30,3371.284300000001
1_5_2012-12-07,8114.957100000003
1_5_2012-12-14,7563.720100000001
1_5_2012-12-21,24127.134099999992
1_5_2012-12-28,7375.466799999997
1_5_2013-01-04,10542.724400000005
1_5_2013-01-11,8409.4783
1_5_2013-01-18,1797.6751000000022
1_5_2013-01-25,743.6387000000001
1_5_2013-02-01,4743.889699999997
1_5_2013-02-08,2488.6742000000004
1_5_2013-02-15,1450.3897999999992
1_5_2013-02-22,6294.714699999996
1_5_2013-03-01,6192.571999999998
1_5_2013-03-08,12500.2195
1_5_2013-03-15,1914.7262999999998
1_5_2013-03-22,1615.8921
1_5_2013-03-29,2637.2075000000027
1_5_2013-04-05,80362.2122
1_5_2013-04-12,59373.71350000003
1_5_2013-04-19,1298.7513999999996
1_5_2013-04-26,7505.431499999992
1_5_2013-05-03,5837.232699999997
1_5_2013-05-10,17702.136899999994
1_5_2013-05-17,2381.13
1_5_2013-05-24,7430.508700000001
1_5_2013-05-31,2094.1198000000004
1_5_2013-06-07,58.127800000000015
1_5_2013-06-14,16022.348899999994
1_5_2013-06-21,1035.3639000000005
1_5_2013-06-28,5111.4
1_5_2013-07-05,532.3901
1_5_2013-07-12,1056.17
1_5_2013-07-19,6302.1146000000035
1_5_2013-07-26,1976.7716999999998
1_6_2012-11-02,46087.0721
1_6_2012-11-09,8847.160899999999
1_6_2012-11-16,33348.27800000002
1_6_2012-11-23,19762.637600000002
1_6_2012-11-30,31213.8362
1_6_2012-12-07,20268.13380000001
1_6_2012-12-14,5482.274399999996
1_6_2012-12-21,3345.808899999999
1_6_2012-12-28,50216.36519999999
1_6_2013-01-04,94920.6258000001
1_6_2013-01-11,63034.288299999964
1_6_2013-01-18,152395.05480000013
1_6_2013-01-25,78492.14969999994
1_6_2013-02-01,62111.17780000001
1_6_2013-02-08,121725.69439999996
1_6_2013-02-15,34922.8449
1_6_2013-02-22,36499.478400000015
1_6_2013-03-01,14208.931300000006
1_6_2013-03-08,27464.028200000015
1_6_2013-03-15,47736.4378
1_6_2013-03-22,10878.081000000004
1_6_2013-03-29,45584.372
1_6_2013-04-05,79235.62800000003
1_6_2013-04-12,18611.74440000001
1_6_2013-04-19,86848.80409999996
1_6_2013-04-26,40627.06650000003
1_6_2013-05-03,37002.70279999999
1_6_2013-05-10,32269.797399999996
1_6_2013-05-17,27550.450100000013
1_6_2013-05-24,8726.349399999988
1_6_2013-05-31,39730.23180000002
1_6_2013-06-07,51736.6295
1_6_2013-06-14,8424.969199999998
1_6_2013-06-21,10750.860699999997
1_6_2013-06-28,35337.50499999999
1_6_2013-07-05,1270.770099999999
1_6_2013-07-12,4901.2562
1_6_2013-07-19,8873.073899999998
1_6_2013-07-26,16362.50270000001
1_7_2012-11-02,29557.763100000026
1_7_2012-11-09,10396.777000000002
1_7_2012-11-16,11588.340499999991
1_7_2012-11-23,9068.140600000004
1_7_2012-11-30,1960.9012000000016
1_7_2012-12-07,680.3303000000003
1_7_2012-12-14,5541.355000000001
1_7_2012-12-21,2736.8518999999983
1_7_2012-12-28,1604.8504000000003
1_7_2013-01-04,8251.5131
1_7_2013-01-11,9287.667999999987
1_7_2013-01-18,13775.736400000005
1_7_2013-01-25,2028.8313
1_7_2013-02-01,1743.6783000000005
1_7_2013-02-08,2831.334800000001
1_7_2013-02-15,69732.1497
1_7_2013-02-22,59952.680299999956
1_7_2013-03-01,1840.5842000000005
1_7_2013-03-08,7534.26299999999
1_7_2013-03-15,6935.793699999998
1_7_2013-03-22,19456.948299999996
1_7_2013-03-29,3709.3995999999997
1_7_2013-04-05,6865.265300000002
1_7_2013-04-12,2692.6662000000024
1_7_2013-04-19,85.4738
1_7_2013-04-26,49451.05840000001
1_7_2013-05-03,1500.6299999999994
1_7_2013-05-10,4737.02
1_7_2013-05-17,705.1671000000003
1_7_2013-05-24,1095.8600000000004
1_7_2013-05-31,6784.7645999999995
1_7_2013-06-07,2653.3271999999997
1_7_2013-06-14,275521.7419000002
1_7_2013-06-21,18151.490400000002
1_7_2013-06-28,32588.514800000026
1_7_2013-07-05,19624.1185
1_7_2013-07-12,31382.845900000022
1_7_2013-07-19,22351.737700000005
1_7_2013-07-26,5307.701099999995
1_8_2012-11-02,3526.2088999999983
1_8_2012-11-09,51364.35799999998
1_8_2012-11-16,102567.45249999998
1_8_2012-11-23,62430.21340000001
1_8_2012-11-30,153331.22909999997
1_8_2012-12-07,84078.18659999993
1_8_2012-12-14,65571.2979
1_8_2012-12-21,118344.89639999997
1_8_2012-12-28,39332.5367
1_8_2013-01-04,35871.543700000046
1_8_2013-01-11,18665.055200000006
1_8_2013-01-18,2483.8003
1_8_2013-01-25,25483.575100000016
1_8_2013-02-01,49102.38410000001
1_8_2013-02-08,11573.814800000007
1_8_2013-02-15,43225.73640000002
1_8_2013-02-22,50465.70950000002
1_8_2013-03-01,11668.1602
1_8_2013-03-08,38786.07240000002
1_8_2013-03-15,40405.26360000004
1_8_2013-03-22,37291.74379999999
1_8_2013-03-29,32040.819499999994
1_8_2013-04-05,26851.66369999999
1_8_2013-04-12,8286.89159999999
1_8_2013-04-19,38219.71279999999
1_8_2013-04-26,38404.750100000005
1_8_2013-05-03,6719.511900000003
1_8_2013-05-10,9827.389099999997
1_8_2013-05-17,13919.75239999999
1_8_2013-05-24,1326.6349999999989
1_8_2013-05-31,4367.765
1_8_2013-06-07,8808.688300000003
1_8_2013-06-14,11134.533900000002
1_8_2013-06-21,25243.61929999999
1_8_2013-06-28,8302.981199999995
1_8_2013-07-05,11363.1148
1_8_2013-07-12,9087.554300000007
1_8_2013-07-19,1869.5029000000009
1_8_2013-07-26,770.4797000000003
1_9_2012-11-02,4791.178599999998
1_9_2012-11-09,2588.6357999999977
1_9_2012-11-16,1486.8461999999997
